loading_id,gantry_bay_id,meter_id,dispatch_id,omc_id,depot,product,physical_loaded_liters,temperature_c,density_kg_m3,loading_timestamp
LOAD-004793,BAY-06,MTR-338,DISP-04793,OMC-003,Kisumu,LUB,28210,30.9,848.7,2026-05-22 18:42:55
LOAD-000439,BAY-03,MTR-304,DISP-00439,OMC-019,Eldoret,AGO,38485,24.6,792.0,2026-01-20 03:13:13
LOAD-006445,BAY-11,MTR-926,DISP-06445,OMC-019,Kisumu,HFO,49179,25.2,796.7,2025-11-10 04:13:41
LOAD-008816,BAY-01,MTR-603,DISP-08816,OMC-014,Mombasa (KOSF),AGO,30111,22.7,762.5,2025-03-19 17:51:16
LOAD-006471,BAY-08,MTR-886,DISP-06471,OMC-014,Mombasa (Kipevu),AGO,21193,31.5,789.1,2026-04-12 20:33:44
LOAD-007377,BAY-10,MTR-411,DISP-07377,OMC-016,Mombasa (Kipevu),AGO,58178,22.9,745.5,2025-06-26 21:31:46
LOAD-008336,BAY-05,MTR-919,DISP-08336,OMC-013,Nairobi,DPK,48025,23.7,831.8,2025-12-30 06:07:24
LOAD-005663,BAY-08,MTR-580,DISP-05663,OMC-005,Eldoret,HFO,41566,31.5,729.6,2026-04-09 18:34:51
LOAD-001308,BAY-11,MTR-799,DISP-01308,OMC-001,Nairobi,LPG,58654,22.8,742.0,2025-07-10 20:57:26
LOAD-006555,BAY-10,MTR-315,DISP-06555,OMC-017,Mombasa (KOSF),DPK,35970,25.6,834.7,2026-02-26 14:56:02
LOAD-005967,BAY-04,MTR-400,DISP-05967,OMC-017,Kisumu,DPK,25519,23.0,811.5,2025-02-11 13:10:54
LOAD-008322,BAY-02,MTR-955,DISP-08322,OMC-002,Mombasa (Kipevu),LUB,25634,24.8,743.5,2026-01-08 15:25:02
LOAD-004774,BAY-12,MTR-378,DISP-04774,OMC-003,Nairobi,DPK,22268,23.1,752.7,2025-11-04 09:38:27
LOAD-007582,BAY-07,MTR-259,DISP-07582,OMC-007,Eldoret,DPK,29828,26.8,799.6,2026-02-26 03:16:38
LOAD-006621,BAY-02,MTR-781,DISP-06621,OMC-011,Eldoret,JETA1,38903,32.0,785.0,2025-11-09 08:22:51
LOAD-005780,BAY-01,MTR-406,DISP-05780,OMC-020,Eldoret,LPG,39141,22.1,721.9,2025-01-06 23:43:54
LOAD-004614,BAY-02,MTR-492,DISP-04614,OMC-019,Mombasa (KOSF),PMS,37640,26.4,769.5,2026-01-16 11:43:52
LOAD-000974,BAY-01,MTR-222,DISP-00974,OMC-002,Kisumu,DPK,46145,23.2,840.9,2026-01-12 07:50:20
LOAD-003901,BAY-04,MTR-132,DISP-03901,OMC-001,Nairobi,HFO,31404,27.9,817.1,2025-04-11 01:08:01
LOAD-006286,BAY-01,MTR-224,DISP-06286,OMC-005,Nairobi,JETA1,21710,30.0,813.9,2026-02-21 23:30:46
LOAD-004540,BAY-04,MTR-619,DISP-04540,OMC-015,Nairobi,DPK,39343,31.4,736.8,2025-02-19 16:00:51
LOAD-005037,BAY-06,MTR-368,DISP-05037,OMC-001,Eldoret,LPG,32433,20.8,756.0,2025-03-05 19:44:50
LOAD-003935,BAY-12,MTR-627,DISP-03935,OMC-020,Kisumu,JETA1,40775,20.2,741.5,
LOAD-004378,BAY-02,MTR-241,DISP-04378,OMC-005,Nairobi,AGO,23157,26.6,737.3,2026-03-10 23:42:16
LOAD-001073,BAY-06,MTR-465,DISP-01073,OMC-007,Mombasa (Kipevu),HFO,55610,22.9,763.3,2026-02-16 21:54:09
LOAD-006330,BAY-03,MTR-231,DISP-06330,OMC-020,Mombasa (KOSF),HFO,22377,27.1,732.6,2025-08-02 02:43:04
LOAD-005251,BAY-06,MTR-666,DISP-05251,OMC-009,Mombasa (Kipevu),AGO,34402,26.1,722.9,2025-07-25 05:02:25
LOAD-004542,BAY-09,MTR-879,DISP-04542,OMC-013,Kisumu,HFO,52069,26.6,822.5,2025-04-20 02:16:42
LOAD-008932,BAY-08,MTR-713,DISP-08932,OMC-010,Mombasa (Kipevu),LUB,22001,30.6,772.2,2025-01-14 23:22:30
LOAD-003343,BAY-05,MTR-892,DISP-03343,OMC-003,Mombasa (KOSF),PMS,26246,23.1,755.9,2026-05-25 19:14:46
LOAD-001122,BAY-09,MTR-544,DISP-01122,OMC-017,Mombasa (Kipevu),LUB,20039,30.9,770.6,2025-10-06 22:47:36
LOAD-003326,BAY-04,MTR-624,DISP-03326,OMC-010,Eldoret,DPK,45726,30.3,794.3,2026-02-07 06:11:04
LOAD-002074,BAY-11,MTR-590,DISP-02074,OMC-008,Mombasa (Kipevu),LPG,49221,30.3,797.3,2025-01-08 18:03:11
LOAD-006545,BAY-09,MTR-451,DISP-06545,OMC-008,Mombasa (Kipevu),AGO,59621,23.1,818.8,2026-03-24 06:05:25
LOAD-005273,BAY-10,MTR-873,,OMC-005,Nairobi,PMS,49431,22.4,828.4,2026-02-12 15:46:43
LOAD-002748,BAY-10,MTR-551,DISP-02748,OMC-019,Mombasa (Kipevu),LPG,35555,26.3,788.1,28/04/2025
LOAD-006339,BAY-09,MTR-631,DISP-06339,OMC-018,Mombasa (KOSF),HFO,43493,26.1,820.0,2025-10-30 14:40:12
LOAD-005054,BAY-12,MTR-520,DISP-05054,OMC-016,Mombasa (KOSF),JETA1,52416,29.2,744.8,2025-11-13 22:01:02
LOAD-001084,BAY-09,MTR-175,DISP-01084,OMC-005,Mombasa (Kipevu),LUB,29619,26.6,764.1,2026-02-07 18:51:29
LOAD-004786,BAY-08,MTR-390,DISP-04786,OMC-004,Eldoret,LPG,23820,29.1,799.4,2026-02-19 15:54:47
LOAD-006968,BAY-03,MTR-283,DISP-06968,OMC-017,Mombasa (Kipevu),PMS,45010,23.9,797.9,2025-10-16 10:11:59
LOAD-002841,BAY-12,MTR-849,DISP-02841,OMC-007,Eldoret,DPK,53291,22.0,738.1,2026-01-17 01:36:53
LOAD-009454,BAY-05,MTR-843,DISP-09454,OMC-005,Mombasa (Kipevu),JETA1,25314,21.9,796.1,2026-03-18 04:30:15
LOAD-003761,BAY-02,MTR-482,DISP-03761,OMC-016,Eldoret,DPK,58551,28.3,774.0,2025-07-10 10:55:38
LOAD-005213,BAY-04,MTR-472,DISP-05213,OMC-005,Nairobi,LPG,39745,28.2,752.4,2026-02-06 19:47:34
LOAD-001626,BAY-10,MTR-861,DISP-01626,OMC-020,Nairobi,AGO,26143,25.5,757.1,2025-05-24 12:05:32
LOAD-002916,BAY-07,MTR-625,DISP-02916,OMC-012,Mombasa (KOSF),LUB,25310,31.1,825.2,2026-04-11 14:26:18
LOAD-003653,BAY-09,MTR-721,DISP-03653,OMC-011,Eldoret,HFO,50394,27.2,768.5,2026-03-16 10:20:48
LOAD-000002,BAY-05,MTR-666,DISP-00002,OMC-005,Kisumu,JETA1,43836,20.1,813.7,2026-04-22 05:49:29
LOAD-002983,BAY-09,MTR-544,DISP-02983,OMC-002,Mombasa (KOSF),PMS,57508,32.0,782.0,2025-11-25 03:59:52
LOAD-005324,BAY-12,MTR-590,DISP-05324,OMC-004,Mombasa (KOSF),AGO,40187,21.6,826.9,2026-04-24 12:09:36
LOAD-008752,BAY-09,MTR-986,DISP-08752,OMC-002,Eldoret,DPK,25008,29.9,805.7,2025-12-25 09:35:18
LOAD-006695,BAY-08,MTR-203,DISP-06695,OMC-013,Mombasa (KOSF),PMS,57181,31.1,810.6,2026-01-30 04:19:33
LOAD-007935,BAY-05,MTR-480,DISP-07935,OMC-016,Mombasa (KOSF),PMS,38252,25.3,769.3,2025-05-07 05:21:49
LOAD-003400,BAY-09,MTR-501,DISP-03400,OMC-012,Kisumu,LUB,36372,27.9,739.2,2026-04-21 21:04:44
LOAD-006275,BAY-10,MTR-403,DISP-06275,OMC-003,Eldoret,JETA1,53210,21.0,798.8,2025-10-28 21:04:27
LOAD-004166,BAY-03,MTR-343,DISP-04166,OMC-008,Mombasa (KOSF),LUB,40327,23.2,745.8,2025-04-02 11:05:54
LOAD-001427,BAY-01,MTR-736,DISP-01427,OMC-009,Mombasa (Kipevu),LUB,53608,27.4,732.8,2025-04-13 20:34:19
LOAD-003361,BAY-07,MTR-207,DISP-03361,OMC-020,Mombasa (KOSF),LUB,57051,28.9,762.2,2026-02-13 19:59:03
LOAD-001423,BAY-09,MTR-327,DISP-01423,OMC-007,Kisumu,HFO,37727,22.6,756.9,2026-05-31 19:01:53
LOAD-009239,BAY-12,MTR-654,DISP-09239,OMC-017,Nairobi,PMS,24049,30.7,809.0,2025-07-26 12:33:44
LOAD-001743,BAY-09,MTR-832,DISP-01743,OMC-007,Kisumu,DPK,24389,28.5,727.8,2026-01-19 01:49:02
LOAD-001530,BAY-03,MTR-528,DISP-01530,OMC-019,Eldoret,LUB,34789,20.5,809.5,2025-09-19 16:20:03
LOAD-007277,BAY-03,MTR-968,DISP-07277,OMC-009,Mombasa (KOSF),HFO,36215,30.9,736.5,2026-03-14 17:16:15
LOAD-004354,BAY-03,MTR-571,DISP-04354,OMC-010,Nairobi,DPK,40788,26.8,814.5,2026-06-13 04:08:57
LOAD-009646,BAY-07,MTR-760,DISP-09646,OMC-014,Mombasa (KOSF),PMS,48415,26.6,843.0,2025-04-16 13:36:59
LOAD-002954,BAY-08,MTR-802,DISP-02954,OMC-010,Eldoret,LPG,42824,22.4,784.9,2025-06-10 00:09:16
LOAD-008539,BAY-01,MTR-905,DISP-08539,OMC-001,Mombasa (KOSF),HFO,24614,28.3,824.8,2025-03-30 17:20:05
LOAD-008566,BAY-04,MTR-510,DISP-08566,OMC-006,Mombasa (KOSF),AGO,31018,27.9,732.9,2025-06-10 10:38:26
LOAD-009498,BAY-03,MTR-556,DISP-09498,OMC-015,Eldoret,PMS,40533,23.1,745.9,30/10/2025
LOAD-004364,BAY-08,MTR-129,DISP-04364,OMC-019,Nairobi,LPG,47046,25.1,748.0,2025-04-24 06:45:55
LOAD-002491,BAY-02,MTR-805,DISP-02491,OMC-015,Eldoret,HFO,54582,21.8,777.4,2026-04-30 06:52:45
LOAD-000015,BAY-03,MTR-378,DISP-00015,OMC-017,Mombasa (KOSF),DPK,55589,22.5,764.6,2025-01-09 20:11:32
LOAD-001035,BAY-12,MTR-763,DISP-01035,OMC-003,Kisumu,JETA1,55863,20.6,781.3,
LOAD-009292,BAY-11,MTR-986,DISP-09292,OMC-002,Kisumu,PMS,46538,21.4,761.7,2025-06-30 16:54:49
LOAD-004082,BAY-11,MTR-160,DISP-04082,OMC-003,Kisumu,DPK,51029,30.7,721.3,2025-06-30 22:23:17
LOAD-002414,BAY-03,MTR-795,DISP-02414,OMC-014,Mombasa (KOSF),LUB,49611,31.1,722.8,2026-04-12 17:02:19
LOAD-002583,BAY-03,MTR-834,DISP-02583,OMC-019,Mombasa (Kipevu),DPK,39512,31.1,833.6,2025-05-11 03:11:48
LOAD-003040,BAY-11,MTR-462,DISP-03040,OMC-016,Kisumu,AGO,52590,23.4,732.2,2025-12-24 01:10:39
LOAD-000897,BAY-04,MTR-424,DISP-00897,OMC-018,Nairobi,DPK,44656,21.2,813.9,2025-11-26 14:36:41
LOAD-003988,BAY-10,MTR-928,DISP-03988,OMC-014,Mombasa (KOSF),AGO,46309,31.1,797.0,2025-08-09 13:06:05
LOAD-005232,BAY-04,MTR-443,DISP-05232,OMC-010,Mombasa (KOSF),PMS,36011,31.8,826.7,2025-08-26 03:46:31
LOAD-007127,BAY-05,MTR-968,DISP-07127,OMC-004,Kisumu,DPK,29974,27.6,770.2,2026-02-19 00:54:16
LOAD-005140,BAY-10,MTR-314,DISP-05140,OMC-001,Kisumu,DPK,34971,29.5,764.0,2025-10-25 06:43:26
LOAD-008399,BAY-08,MTR-994,DISP-08399,OMC-009,Mombasa (Kipevu),JETA1,46088,22.6,751.2,2025-03-12 05:23:36
LOAD-003904,BAY-09,MTR-875,DISP-03904,OMC-009,Nairobi,LUB,26826,23.4,725.7,2026-06-05 13:27:03
LOAD-002831,BAY-08,MTR-847,DISP-02831,OMC-019,Mombasa (Kipevu),HFO,40088,24.8,726.5,2025-01-22 11:55:32
LOAD-009847,BAY-11,MTR-700,DISP-09847,OMC-007,Kisumu,JETA1,58602,29.9,793.8,2026-03-15 11:35:02
LOAD-006647,BAY-10,MTR-470,DISP-06647,OMC-014,Mombasa (KOSF),LPG,51936,20.2,835.4,2026-04-11 22:01:11
LOAD-003862,BAY-05,MTR-477,DISP-03862,OMC-004,Nairobi,JETA1,51344,29.5,776.9,2026-03-14 17:30:21
LOAD-003149,BAY-11,MTR-591,DISP-03149,OMC-019,Mombasa (Kipevu),AGO,58967,20.4,754.5,2026-01-18 03:13:11
LOAD-006225,BAY-07,MTR-911,DISP-06225,OMC-012,Eldoret,PMS,34956,20.7,837.3,2026-03-30 20:34:27
LOAD-009191,BAY-02,MTR-100,DISP-09191,OMC-008,Kisumu,AGO,51797,24.3,812.6,2025-12-02 23:39:07
LOAD-007408,BAY-02,MTR-608,DISP-07408,OMC-014,Nairobi,PMS,27713,25.4,801.5,
LOAD-004496,BAY-07,MTR-859,DISP-04496,OMC-007,Eldoret,DPK,41901,20.8,829.5,2026-01-30 02:05:37
LOAD-007213,BAY-06,MTR-362,DISP-07213,OMC-004,Mombasa (KOSF),LPG,56408,23.9,822.5,2026-04-08 01:32:11
LOAD-007680,BAY-04,MTR-296,,OMC-005,Kisumu,JETA1,47428,31.7,735.9,2026-02-15 11:20:27
LOAD-001287,BAY-07,MTR-501,DISP-01287,OMC-013,Eldoret,AGO,52847,26.8,824.2,2025-02-11 05:47:36
LOAD-007491,BAY-08,MTR-874,DISP-07491,OMC-014,Mombasa (Kipevu),HFO,35942,27.1,830.8,2026-02-20 01:40:09
LOAD-006875,BAY-04,MTR-736,DISP-06875,OMC-003,Nairobi,LUB,55021,20.8,803.9,2025-03-27 10:24:54
LOAD-001676,BAY-07,MTR-605,DISP-01676,OMC-011,Nairobi,AGO,28102,21.8,733.4,2025-08-02 20:25:56
LOAD-007238,BAY-03,MTR-469,DISP-07238,OMC-012,Kisumu,JETA1,52794,22.3,808.3,2026-02-14 19:20:43
LOAD-002189,BAY-02,MTR-519,DISP-02189,OMC-001,Eldoret,AGO,45863,29.1,806.9,2025-06-01 19:42:08
LOAD-004146,BAY-07,MTR-242,DISP-04146,OMC-009,Mombasa (Kipevu),JETA1,44777,22.3,755.7,2025-11-26 01:30:42
LOAD-006502,BAY-03,MTR-864,DISP-06502,OMC-014,Nairobi,AGO,36107,24.2,761.1,2025-09-21 20:36:29
LOAD-009633,BAY-06,MTR-891,DISP-09633,OMC-005,Mombasa (KOSF),PMS,21874,31.2,794.9,2026-03-15 19:30:29
LOAD-002341,BAY-10,MTR-817,DISP-02341,OMC-007,Nairobi,PMS,30906,21.0,833.2,2025-07-04 08:46:18
LOAD-002232,BAY-10,MTR-326,DISP-02232,OMC-002,Mombasa (Kipevu),LPG,54992,22.2,766.4,2025-03-06 19:44:06
LOAD-002170,BAY-09,MTR-215,DISP-02170,OMC-009,Nairobi,LPG,30122,28.5,811.4,2026-01-02 18:41:30
LOAD-002981,BAY-11,MTR-493,DISP-02981,OMC-004,Eldoret,DPK,58848,23.2,746.3,2026-04-17 20:33:08
LOAD-004774,BAY-12,MTR-378,DISP-04774,OMC-003,Nairobi,DPK,22268,23.1,752.7,2025-11-04 09:38:27
LOAD-005523,BAY-10,MTR-886,DISP-05523,OMC-003,Mombasa (Kipevu),DPK,50695,27.9,796.2,2025-03-30 13:01:36
LOAD-000014,BAY-03,MTR-548,DISP-00014,OMC-020,Mombasa (KOSF),DPK,55171,28.4,799.5,2025-04-13 02:40:02
LOAD-008355,BAY-10,MTR-618,DISP-08355,OMC-002,Nairobi,HFO,46722,21.6,836.1,2025-10-13 10:43:46
LOAD-003072,BAY-09,MTR-621,DISP-03072,OMC-013,Kisumu,AGO,56534,24.1,723.9,2025-01-14 05:37:35
LOAD-009510,BAY-04,MTR-440,DISP-09510,OMC-017,Eldoret,HFO,27613,26.9,799.1,2026-06-13 23:04:47
LOAD-009981,BAY-04,MTR-675,DISP-09981,OMC-017,Mombasa (Kipevu),DPK,36980,28.6,726.4,2025-04-23 15:49:55
LOAD-004595,BAY-07,MTR-714,DISP-04595,OMC-002,Kisumu,DPK,24159,25.4,767.8,2026-05-11 15:29:36
LOAD-001419,BAY-09,MTR-873,DISP-01419,OMC-014,Nairobi,LPG,47057,27.1,823.3,2025-08-02 15:22:21
LOAD-001537,BAY-01,MTR-505,DISP-01537,OMC-014,Kisumu,DPK,43686,25.3,747.4,2025-02-04 12:17:11
LOAD-002396,BAY-07,MTR-334,DISP-02396,OMC-012,Nairobi,JETA1,33705,24.3,798.7,2026-02-15 03:37:21
LOAD-008622,BAY-12,MTR-672,DISP-08622,OMC-008,Eldoret,AGO,28531,22.5,721.2,2025-10-18 02:02:54
LOAD-005199,BAY-02,MTR-820,DISP-05199,OMC-014,Mombasa (KOSF),LPG,57470,29.7,749.1,2026-04-20 01:43:22
LOAD-003483,BAY-04,MTR-170,DISP-03483,OMC-008,Eldoret,LUB,44895,20.6,765.2,2026-05-09 03:01:32
LOAD-006104,BAY-11,MTR-932,DISP-06104,OMC-020,Nairobi,HFO,23864,20.6,747.6,2026-05-24 12:44:24
LOAD-000357,BAY-09,MTR-505,DISP-00357,OMC-020,Mombasa (KOSF),JETA1,55111,20.5,770.4,2026-06-22 23:21:08
LOAD-000401,BAY-08,MTR-383,DISP-00401,OMC-020,Kisumu,DPK,46419,28.3,806.8,2025-05-14 13:41:17
LOAD-009891,BAY-02,MTR-751,DISP-09891,OMC-012,Eldoret,AGO,21021,22.1,796.9,2026-03-20 16:26:34
LOAD-007989,BAY-06,MTR-664,DISP-07989,OMC-011,Kisumu,LPG,50288,21.6,765.5,2026-05-28 21:13:15
LOAD-008660,BAY-06,MTR-811,DISP-08660,OMC-017,Nairobi,DPK,50370,31.4,806.0,2025-05-31 05:43:19
LOAD-002444,BAY-01,MTR-781,DISP-02444,OMC-016,Eldoret,HFO,42377,31.9,726.7,2025-09-12 04:03:21
LOAD-007609,BAY-05,MTR-946,DISP-07609,OMC-009,Eldoret,PMS,20496,31.6,744.6,2025-03-07 22:07:20
LOAD-008433,BAY-01,MTR-871,DISP-08433,OMC-020,Nairobi,JETA1,52174,29.0,754.1,2025-08-14 03:48:24
LOAD-004560,BAY-06,MTR-903,DISP-04560,OMC-001,Mombasa (KOSF),DPK,51893,27.0,798.7,2025-10-29 10:55:36
LOAD-002316,BAY-07,MTR-669,DISP-02316,OMC-011,Eldoret,LPG,38272,20.6,842.0,2026-04-28 20:21:29
LOAD-007957,BAY-12,MTR-603,DISP-07957,OMC-012,Mombasa (KOSF),PMS,28862,21.9,823.2,2026-02-01 07:25:22
LOAD-009543,BAY-09,MTR-983,DISP-09543,OMC-018,Kisumu,PMS,41213,25.4,785.7,
LOAD-005663,BAY-08,MTR-580,DISP-05663,OMC-005,Eldoret,HFO,41566,31.5,729.6,2026-04-09 18:34:51
LOAD-004501,BAY-10,MTR-430,DISP-04501,OMC-009,Mombasa (KOSF),LPG,58461,20.9,756.0,2025-10-03 12:15:25
LOAD-007659,BAY-07,MTR-553,DISP-07659,OMC-006,Mombasa (Kipevu),AGO,44269,29.1,752.1,21/09/2025
LOAD-001383,BAY-04,MTR-114,DISP-01383,OMC-016,Mombasa (KOSF),LUB,42133,31.5,822.5,2025-11-09 19:41:31
LOAD-001785,BAY-11,MTR-461,DISP-01785,OMC-014,Nairobi,AGO,42463,31.3,801.9,2025-12-29 18:43:05
LOAD-001214,BAY-10,MTR-650,DISP-01214,OMC-008,Kisumu,PMS,47311,26.7,771.3,2026-01-26 01:37:11
LOAD-004763,BAY-04,MTR-364,DISP-04763,OMC-014,Nairobi,PMS,53768,23.4,794.5,2026-05-23 06:13:47
LOAD-005356,BAY-10,MTR-802,DISP-05356,OMC-003,Eldoret,JETA1,45871,30.5,828.3,2025-01-27 18:33:27
LOAD-007457,BAY-05,MTR-482,DISP-07457,OMC-005,Kisumu,PMS,42434,30.6,847.3,2026-02-06 00:16:33
LOAD-002747,BAY-07,MTR-116,DISP-02747,OMC-014,Kisumu,JETA1,29450,29.0,841.7,17/06/2025
LOAD-006748,BAY-01,MTR-424,DISP-06748,OMC-002,Mombasa (KOSF),PMS,51501,23.3,838.9,2025-10-01 22:49:44
LOAD-008374,BAY-07,MTR-476,DISP-08374,OMC-007,Mombasa (KOSF),LPG,31353,27.7,752.5,2025-03-17 14:41:51
LOAD-003206,BAY-06,MTR-528,DISP-03206,OMC-012,Mombasa (Kipevu),DPK,27853,30.8,849.0,2026-04-25 19:19:36
LOAD-009092,BAY-01,MTR-234,DISP-09092,OMC-018,Mombasa (KOSF),LPG,59984,26.7,810.0,2025-07-23 07:48:21
LOAD-008013,BAY-08,MTR-793,DISP-08013,OMC-014,Kisumu,LPG,26048,26.8,810.1,2025-10-30 23:04:42
LOAD-007672,BAY-12,MTR-358,DISP-07672,OMC-013,Mombasa (Kipevu),LUB,27074,28.7,739.5,2025-02-18 16:35:08
LOAD-004933,BAY-08,MTR-273,DISP-04933,OMC-011,Eldoret,PMS,52157,30.5,738.6,2025-04-22 00:04:44
LOAD-008288,BAY-12,MTR-379,DISP-08288,OMC-017,Nairobi,LUB,30173,30.1,776.3,2026-02-05 04:29:52
LOAD-007884,BAY-06,MTR-943,DISP-07884,OMC-016,Eldoret,JETA1,31233,26.4,836.9,2025-03-20 03:56:18
LOAD-004105,BAY-03,MTR-885,DISP-04105,OMC-012,Mombasa (KOSF),HFO,40500,23.3,805.5,2026-02-14 23:15:35
LOAD-008221,BAY-06,MTR-278,DISP-08221,OMC-012,Mombasa (KOSF),LUB,45790,23.6,846.9,2026-03-18 01:03:59
LOAD-007558,BAY-06,MTR-620,DISP-07558,OMC-012,Eldoret,JETA1,51045,27.2,748.1,2026-02-19 02:13:09
LOAD-007434,BAY-04,MTR-422,DISP-07434,OMC-017,Kisumu,AGO,55530,20.2,789.4,2025-04-03 14:29:23
LOAD-005150,BAY-10,MTR-336,DISP-05150,OMC-014,Mombasa (Kipevu),LPG,32523,26.4,785.5,2026-06-13 12:45:38
LOAD-001829,BAY-10,MTR-763,DISP-01829,OMC-010,Mombasa (Kipevu),HFO,41022,27.0,771.0,2026-02-25 07:56:03
LOAD-002727,BAY-11,MTR-929,DISP-02727,OMC-016,Mombasa (Kipevu),LUB,34730,31.9,726.6,05/06/2025
LOAD-000702,BAY-02,MTR-129,DISP-00702,OMC-003,Mombasa (KOSF),JETA1,53723,29.9,738.0,2025-11-17 17:58:45
LOAD-006414,BAY-03,MTR-840,DISP-06414,OMC-009,Eldoret,LUB,40576,22.0,796.1,21/03/2025
LOAD-005593,BAY-07,MTR-624,DISP-05593,OMC-017,Mombasa (Kipevu),AGO,49693,29.3,825.6,2025-01-08 07:33:32
LOAD-007752,BAY-02,MTR-376,DISP-07752,OMC-003,Mombasa (KOSF),JETA1,45678,27.3,811.0,2025-12-06 01:34:40
LOAD-004851,BAY-10,MTR-429,DISP-04851,OMC-020,Eldoret,PMS,51791,26.0,819.9,2025-03-11 20:12:09
LOAD-008713,BAY-04,MTR-997,DISP-08713,OMC-018,Eldoret,AGO,50878,25.0,762.3,2025-08-14 20:35:29
LOAD-006596,BAY-08,MTR-168,DISP-06596,OMC-020,Kisumu,AGO,42579,28.1,823.7,2026-01-18 12:24:40
LOAD-000050,BAY-05,MTR-778,DISP-00050,OMC-003,Mombasa (Kipevu),PMS,33192,29.8,791.5,27/04/2026
LOAD-000009,BAY-04,MTR-995,DISP-00009,OMC-013,Mombasa (Kipevu),JETA1,36875,25.3,832.0,2025-12-14 03:58:42
LOAD-009434,BAY-06,MTR-563,DISP-09434,OMC-013,Kisumu,JETA1,41414,31.6,759.3,2025-11-28 03:58:44
LOAD-004403,BAY-07,MTR-608,DISP-04403,OMC-012,Nairobi,LPG,47591,27.0,844.7,2026-04-13 11:44:45
LOAD-004063,BAY-10,MTR-288,DISP-04063,OMC-017,Nairobi,HFO,46458,22.8,816.5,2025-04-24 23:29:28
LOAD-001097,BAY-09,MTR-799,DISP-01097,OMC-013,Mombasa (Kipevu),JETA1,48845,22.3,832.5,2025-06-10 12:54:48
LOAD-001664,BAY-02,MTR-661,DISP-01664,OMC-009,Mombasa (KOSF),LPG,57812,20.5,807.3,2025-08-23 15:46:11
LOAD-009566,BAY-09,MTR-172,DISP-09566,OMC-001,Mombasa (Kipevu),LPG,50973,25.5,764.5,2026-06-14 09:00:56
LOAD-002210,BAY-01,MTR-154,DISP-02210,OMC-010,Kisumu,PMS,22328,30.2,722.0,2026-03-01 13:11:26
LOAD-008208,BAY-05,MTR-218,DISP-08208,OMC-006,Mombasa (Kipevu),DPK,57231,31.8,769.8,2026-01-21 11:45:23
LOAD-003219,BAY-03,MTR-708,DISP-03219,OMC-020,Eldoret,AGO,26248,22.2,740.9,2026-04-27 16:24:04
LOAD-001579,BAY-02,MTR-713,DISP-01579,OMC-002,Mombasa (Kipevu),HFO,21641,21.1,829.1,2026-03-19 17:44:42
LOAD-005820,BAY-08,MTR-644,DISP-05820,OMC-014,Kisumu,HFO,39199,22.4,768.6,2025-01-19 06:10:32
LOAD-000632,BAY-11,MTR-342,DISP-00632,OMC-013,Mombasa (Kipevu),AGO,33765,30.0,775.9,2026-05-29 14:09:27
LOAD-002851,BAY-01,MTR-335,DISP-02851,OMC-019,Mombasa (KOSF),AGO,53641,27.5,846.4,2025-12-07 12:16:05
LOAD-003844,BAY-01,MTR-484,DISP-03844,OMC-003,Nairobi,LPG,46668,24.1,739.0,2026-01-17 11:40:13
LOAD-000252,BAY-02,MTR-367,DISP-00252,OMC-012,Mombasa (KOSF),JETA1,55504,20.1,832.9,2026-04-20 01:02:57
LOAD-005918,BAY-05,MTR-731,DISP-05918,OMC-011,Eldoret,AGO,50671,24.8,836.0,2025-12-16 18:04:15
LOAD-000443,BAY-03,MTR-656,DISP-00443,OMC-012,Mombasa (Kipevu),HFO,50658,23.8,829.8,2026-02-07 10:33:12
LOAD-008559,BAY-04,MTR-354,DISP-08559,OMC-006,Kisumu,DPK,52990,31.7,839.7,2025-04-13 06:30:35
LOAD-003176,BAY-12,MTR-751,,OMC-004,Eldoret,DPK,39530,24.9,755.3,2026-03-28 02:58:21
LOAD-002776,BAY-12,MTR-527,DISP-02776,OMC-002,Eldoret,LPG,54711,22.0,761.1,2025-09-24 12:59:48
LOAD-003626,BAY-07,MTR-965,DISP-03626,OMC-010,Eldoret,DPK,30044,28.1,726.2,2025-04-17 13:26:22
LOAD-001907,BAY-04,MTR-549,DISP-01907,OMC-002,Mombasa (KOSF),PMS,53540,24.5,834.5,2025-10-09 00:17:42
LOAD-002948,BAY-06,MTR-892,DISP-02948,OMC-002,Mombasa (KOSF),DPK,37338,22.7,741.3,2026-04-20 05:53:55
LOAD-002845,BAY-11,MTR-548,DISP-02845,OMC-003,Mombasa (Kipevu),PMS,37771,29.6,790.7,2026-04-05 19:47:11
LOAD-005444,BAY-05,MTR-340,DISP-05444,OMC-015,Mombasa (Kipevu),AGO,27720,28.3,781.7,2026-01-29 02:55:20
LOAD-006973,BAY-07,MTR-327,DISP-06973,OMC-009,Kisumu,HFO,41245,24.8,729.0,2025-10-18 10:54:19
LOAD-002842,BAY-06,MTR-820,DISP-02842,OMC-005,Kisumu,HFO,51414,25.7,842.3,2026-02-24 08:18:23
LOAD-006049,BAY-12,MTR-322,DISP-06049,OMC-016,Nairobi,DPK,52769,30.3,798.1,2026-04-14 11:15:41
LOAD-004290,BAY-04,MTR-772,DISP-04290,OMC-018,Mombasa (Kipevu),AGO,57550,28.5,742.4,2026-06-24 14:59:32
LOAD-000124,BAY-02,MTR-295,DISP-00124,OMC-019,Mombasa (Kipevu),LUB,21263,23.8,739.7,2025-08-22 01:52:11
