attendance_id,beneficiary_id,officer_id,pillar_id,period,attendance_date,verified_at,eligible_amount_kes,status
ATT-002277,BEN-0191,OFF-012,Vocational,2025-09,,2025-09-26 00:00:00,10000,Verified
ATT-001563,BEN-0129,OFF-003,Tech,2026-05,2026-05-01,2026-05-02 00:00:00,12000,Verified
ATT-000431,BEN-0035,OFF-008,Plus,2025-02,2025-02-23,2025-02-23 00:00:00,8000,Verified
ATT-000018,BEN-0002,OFF-009,Scholarship,2025-09,2025-09-05,2025-09-06 00:00:00,15000,Verified
ATT-001772,BEN-0148,OFF-012,Plus,2025-07,2025-07-11,2025-07-11 00:00:00,8000,Verified
ATT-001534,BEN-0126,OFF-013,Vocational,2026-02,2026-02-09,2026-02-10 00:00:00,10000,Verified
ATT-000375,BEN-0030,OFF-011,Scholarship,2026-03,2026-03-08,2026-03-10 00:00:00,15000,Verified
ATT-000686,BEN-0056,OFF-005,Plus,2025-02,21/02/2025,2025-02-23 00:00:00,8000,Verified
ATT-001672,BEN-0138,OFF-009,Scholarship,2026-04,2026-04-12,2026-04-12 00:00:00,15000,Verified
ATT-000371,BEN-0030,OFF-011,Scholarship,2026-01,2026-01-05,2026-01-06 00:00:00,15000,Verified
ATT-000298,BEN-0024,OFF-014,Plus,2026-06,2026-06-11,2026-06-12 00:00:00,8000,Verified
ATT-000312,BEN-0025,OFF-009,Plus,2025-10,2025-10-01,2025-10-02 00:00:00,8000,Verified
ATT-000709,BEN-0059,OFF-013,Vocational,2025-06,2025-06-27,2025-06-27 00:00:00,10000,Verified
ATT-002186,BEN-0183,OFF-014,Scholarship,2026-02,2026-02-21,2026-02-23 00:00:00,15000,Verified
ATT-000730,BEN-0061,OFF-008,Scholarship,2025-12,2025-12-16,2025-12-17 00:00:00,15000,Verified
ATT-002309,BEN-0193,OFF-010,Tech,2026-03,2026-03-04,2026-03-05 00:00:00,12000,Verified
ATT-001776,BEN-0149,OFF-005,Vocational,2025-07,2025-07-14,2025-07-15 00:00:00,10000,Verified
ATT-000910,BEN-0075,OFF-012,Scholarship,2026-05,11/05/2026,2026-05-12 00:00:00,15000,Verified
ATT-000264,BEN-0022,OFF-008,Scholarship,2026-06,2026-06-04,2026-06-04 00:00:00,15000,Verified
ATT-001684,BEN-0140,OFF-015,Plus,2025-06,2025-06-07,2025-06-08 00:00:00,8000,Verified
ATT-000513,BEN-0041,OFF-007,Plus,2025-06,2025-06-09,2025-06-09 00:00:00,8000,Verified
ATT-001638,BEN-0135,OFF-007,Vocational,2025-08,2025-08-17,2025-08-17 00:00:00,10000,Verified
ATT-001516,BEN-0125,OFF-014,Vocational,2025-01,2025-01-01,2025-01-03 00:00:00,10000,Verified
ATT-001486,BEN-0123,OFF-012,Tech,2025-04,2025-04-24,2025-04-26 00:00:00,12000,Verified
ATT-000299,BEN-0024,OFF-014,Plus,2025-01,2025-01-13,2025-01-13 00:00:00,8000,Verified
ATT-000055,BEN-0004,OFF-001,Plus,2026-06,2026-06-04,2026-06-05 00:00:00,8000,Verified
ATT-000289,BEN-0023,OFF-002,Plus,2025-08,2025-08-02,2025-08-02 00:00:00,8000,Verified
ATT-002166,BEN-0182,OFF-004,Plus,2026-01,,2026-01-03 00:00:00,8000,Verified
ATT-001533,BEN-0126,OFF-013,Vocational,2025-01,2025-01-22,2025-01-24 00:00:00,10000,Verified
ATT-000893,BEN-0074,OFF-010,Scholarship,2025-07,2025-07-16,2025-07-16 00:00:00,15000,Verified
ATT-001171,BEN-0096,OFF-005,Plus,2025-11,2025-11-14,2025-11-15 00:00:00,8000,Verified
ATT-001783,BEN-0149,OFF-005,Vocational,2026-01,,2026-01-22 00:00:00,10000,Verified
ATT-001112,BEN-0091,OFF-003,Tech,2025-04,2025-04-14,2025-04-15 00:00:00,12000,Verified
ATT-002265,BEN-0190,OFF-004,Plus,2026-05,2026-05-07,2026-05-07 00:00:00,8000,Verified
ATT-002385,BEN-0199,OFF-012,Tech,2025-08,2025-08-27,2025-08-27 00:00:00,12000,Verified
ATT-002238,BEN-0188,OFF-005,Scholarship,2026-04,25/04/2026,2026-04-26 00:00:00,15000,Verified
ATT-000633,BEN-0051,OFF-010,Vocational,2025-11,2025-11-14,2025-11-15 00:00:00,10000,Verified
ATT-002271,BEN-0190,OFF-004,Plus,2025-05,01/05/2025,2025-05-02 00:00:00,8000,Verified
ATT-000944,BEN-0078,OFF-015,Plus,2025-12,2025-12-21,2025-12-21 00:00:00,8000,Verified
ATT-001373,BEN-0113,OFF-007,Scholarship,2025-11,08/11/2025,2025-11-09 00:00:00,15000,Verified
ATT-001722,BEN-0143,OFF-012,Scholarship,2025-12,2025-12-12,2025-12-14 00:00:00,15000,Verified
ATT-001057,BEN-0086,OFF-004,Plus,2025-11,2025-11-24,2025-11-26 00:00:00,8000,Verified
ATT-001436,BEN-0118,OFF-006,Scholarship,2025-06,2025-06-07,2025-06-07 00:00:00,15000,Verified
ATT-000842,BEN-0070,OFF-008,Scholarship,2025-12,2025-12-27,2025-12-29 00:00:00,15000,Verified
ATT-000262,BEN-0022,OFF-008,Scholarship,2025-09,2025-09-13,2025-09-14 00:00:00,15000,Verified
ATT-000332,BEN-0027,OFF-004,Plus,2026-03,2026-03-23,2026-03-25 00:00:00,8000,Verified
ATT-001991,BEN-0168,OFF-013,Scholarship,2025-02,2025-02-13,2025-02-13 00:00:00,15000,Verified
ATT-001983,BEN-0167,OFF-013,Plus,2025-11,2025-11-24,2025-11-25 00:00:00,8000,Verified
ATT-001612,BEN-0133,OFF-007,Scholarship,2025-01,2025-01-12,2025-01-13 00:00:00,15000,Verified
ATT-001990,BEN-0168,OFF-013,Scholarship,2025-10,2025-10-02,2025-10-04 00:00:00,15000,Verified
ATT-000210,BEN-0018,OFF-008,Tech,2025-10,2025-10-05,2025-10-05 00:00:00,12000,Verified
ATT-001273,BEN-0105,OFF-012,Scholarship,2025-03,26/03/2025,2025-03-26 00:00:00,15000,Verified
ATT-002024,BEN-0170,OFF-006,Plus,2025-03,2025-03-10,2025-03-11 00:00:00,8000,Verified
ATT-001648,BEN-0136,OFF-008,Vocational,2025-07,2025-07-14,2025-07-16 00:00:00,10000,Verified
ATT-000387,BEN-0031,OFF-008,Vocational,2025-06,24/06/2025,2025-06-26 00:00:00,10000,Verified
ATT-001247,BEN-0103,OFF-009,Plus,2025-09,2025-09-23,2025-09-24 00:00:00,8000,Verified
ATT-000592,BEN-0047,OFF-008,Scholarship,2025-09,2025-09-21,2025-09-21 00:00:00,15000,Verified
ATT-001570,BEN-0129,OFF-003,Tech,2025-04,2025-04-01,2025-04-01 00:00:00,12000,Verified
ATT-002386,BEN-0199,OFF-012,Tech,2026-03,2026-03-28,2026-03-29 00:00:00,12000,Verified
ATT-002121,BEN-0178,OFF-005,Plus,2025-09,2025-09-26,2025-09-28 00:00:00,8000,Verified
ATT-001338,BEN-0110,OFF-005,Vocational,2025-02,2025-02-08,2025-02-08 00:00:00,10000,Verified
ATT-002093,BEN-0175,OFF-002,Vocational,2025-09,2025-09-12,2025-09-14 00:00:00,10000,Verified
ATT-001901,BEN-0158,OFF-014,Scholarship,2025-10,2025-10-14,2025-10-16 00:00:00,15000,Verified
ATT-000828,BEN-0069,OFF-015,Tech,2025-12,2025-12-25,2025-12-27 00:00:00,12000,Verified
ATT-000066,BEN-0005,OFF-004,Scholarship,2026-01,24/01/2026,2026-01-26 00:00:00,15000,Verified
ATT-002234,BEN-0187,OFF-010,Tech,2026-04,2026-04-20,2026-04-21 00:00:00,12000,Verified
ATT-000418,BEN-0033,OFF-001,Plus,2025-07,2025-07-20,2025-07-22 00:00:00,8000,Verified
ATT-000660,BEN-0054,OFF-003,Vocational,2025-10,2025-10-19,2025-10-19 00:00:00,10000,Verified
ATT-000669,BEN-0054,OFF-003,Vocational,2026-05,2026-05-09,2026-05-11 00:00:00,10000,Verified
ATT-001686,BEN-0140,OFF-015,Plus,2025-08,2025-08-15,2025-08-17 00:00:00,8000,Verified
ATT-001246,BEN-0103,OFF-009,Plus,2025-07,2025-07-06,2025-07-07 00:00:00,8000,Verified
ATT-001928,BEN-0161,OFF-007,Scholarship,2025-01,2025-01-11,2025-01-12 00:00:00,15000,Verified
ATT-001683,BEN-0140,OFF-015,Plus,2026-01,2026-01-06,2026-01-07 00:00:00,8000,Verified
ATT-001159,BEN-0096,OFF-005,Plus,2025-03,2025-03-11,2025-03-12 00:00:00,8000,Verified
ATT-001636,BEN-0135,OFF-007,Vocational,2025-09,2025-09-20,2025-09-22 00:00:00,10000,Verified
ATT-001581,BEN-0130,OFF-002,Vocational,2026-03,2026-03-24,2026-03-26 00:00:00,10000,Verified
ATT-000896,BEN-0074,OFF-010,Scholarship,2025-02,2025-02-03,2025-02-03 00:00:00,15000,Verified
ATT-001452,BEN-0120,OFF-015,Plus,2025-05,2025-05-08,2025-05-08 00:00:00,8000,Verified
ATT-000625,BEN-0050,OFF-009,Scholarship,2026-06,2026-06-25,2026-06-26 00:00:00,15000,Verified
ATT-002221,BEN-0186,OFF-011,Vocational,2025-07,2025-07-27,2025-07-29 00:00:00,10000,Verified
ATT-002369,BEN-0198,OFF-011,Vocational,2025-01,2025-01-06,2025-01-08 00:00:00,10000,Verified
ATT-000346,BEN-0028,OFF-004,Vocational,2025-12,2025-12-13,2025-12-15 00:00:00,10000,Verified
ATT-002359,BEN-0197,OFF-006,Plus,2026-02,2026-02-17,2026-02-19 00:00:00,8000,Verified
ATT-000735,BEN-0061,OFF-008,Scholarship,2025-11,2025-11-12,2025-11-13 00:00:00,15000,Verified
ATT-001255,BEN-0103,OFF-009,Plus,2026-02,2026-02-22,2026-02-22 00:00:00,8000,Verified
ATT-001010,BEN-0083,OFF-001,Plus,2026-06,2026-06-11,2026-06-11 00:00:00,8000,Verified
ATT-000915,BEN-0076,OFF-015,Vocational,2025-05,2025-05-21,2025-05-22 00:00:00,10000,Verified
ATT-000668,BEN-0054,OFF-003,Vocational,2025-08,2025-08-17,2025-08-17 00:00:00,10000,Verified
ATT-002031,BEN-0170,OFF-006,Plus,2025-11,2025-11-07,2025-11-08 00:00:00,8000,Verified
ATT-001210,BEN-0100,OFF-001,Plus,2026-03,2026-03-01,2026-03-01 00:00:00,8000,Verified
ATT-001582,BEN-0130,OFF-002,Vocational,2026-05,18/05/2026,2026-05-18 00:00:00,10000,Verified
ATT-000403,BEN-0032,OFF-005,Vocational,2025-11,2025-11-27,2025-11-27 00:00:00,10000,Verified
ATT-002283,BEN-0191,OFF-012,Vocational,2025-04,2025-04-18,2025-04-19 00:00:00,10000,Verified
ATT-002108,BEN-0177,OFF-002,Scholarship,2025-02,2025-02-24,2025-02-26 00:00:00,15000,Verified
ATT-002037,BEN-0170,OFF-006,Plus,2026-02,2026-02-08,2026-02-08 00:00:00,8000,Verified
ATT-000274,BEN-0022,OFF-008,Scholarship,2025-01,09/01/2025,2025-01-10 00:00:00,15000,Verified
ATT-000514,BEN-0041,OFF-007,Plus,2026-02,2026-02-12,2026-02-12 00:00:00,8000,Verified
ATT-001893,BEN-0158,OFF-014,Scholarship,2025-11,2025-11-05,2025-11-06 00:00:00,15000,Verified
ATT-000647,BEN-0052,OFF-006,Vocational,2025-01,2025-01-26,2025-01-27 00:00:00,10000,Verified
ATT-001103,BEN-0091,OFF-003,Tech,2025-10,2025-10-18,2025-10-19 00:00:00,12000,Verified
ATT-002231,BEN-0187,OFF-010,Tech,2025-06,2025-06-11,2025-06-12 00:00:00,12000,Verified
ATT-000043,BEN-0004,OFF-001,Plus,2025-03,2025-03-23,2025-03-24 00:00:00,8000,Verified
ATT-001149,BEN-0095,OFF-011,Tech,2026-01,2026-01-14,2026-01-14 00:00:00,12000,Verified
ATT-001088,BEN-0089,OFF-009,Vocational,2026-06,2026-06-09,2026-06-09 00:00:00,10000,Verified
ATT-000739,BEN-0061,OFF-008,Scholarship,2025-08,2025-08-07,2025-08-08 00:00:00,15000,Verified
ATT-000395,BEN-0032,OFF-005,Vocational,2026-02,2026-02-24,2026-02-26 00:00:00,10000,Verified
ATT-001694,BEN-0141,OFF-010,Plus,2026-01,2026-01-21,2026-01-21 00:00:00,8000,Verified
ATT-002296,BEN-0192,OFF-003,Plus,2026-01,2026-01-18,2026-01-20 00:00:00,8000,Verified
ATT-002053,BEN-0172,OFF-012,Plus,2025-09,2025-09-02,2025-09-04 00:00:00,8000,Verified
ATT-000426,BEN-0034,OFF-009,Tech,2026-02,2026-02-18,2026-02-19 00:00:00,12000,Verified
ATT-001408,BEN-0116,OFF-002,Plus,2025-11,2025-11-20,2025-11-22 00:00:00,8000,Verified
ATT-001322,BEN-0109,OFF-006,Tech,2026-04,2026-04-04,2026-04-04 00:00:00,12000,Verified
ATT-000174,BEN-0015,OFF-012,Vocational,2025-11,2025-11-05,2025-11-05 00:00:00,10000,Verified
ATT-000193,BEN-0016,OFF-008,Vocational,2025-09,2025-09-10,2025-09-12 00:00:00,10000,Verified
ATT-000711,BEN-0059,OFF-013,Vocational,2026-06,,2026-06-14 00:00:00,10000,Verified
ATT-000457,BEN-0037,OFF-007,Plus,2026-06,2026-06-11,2026-06-13 00:00:00,8000,Verified
ATT-002090,BEN-0175,OFF-002,Vocational,2025-02,2025-02-27,2025-03-01 00:00:00,10000,Verified
ATT-000219,BEN-0018,OFF-008,Tech,2025-07,2025-07-21,2025-07-21 00:00:00,12000,Verified
ATT-001579,BEN-0130,OFF-002,Vocational,2025-07,2025-07-17,2025-07-19 00:00:00,10000,Verified
ATT-001409,BEN-0116,OFF-002,Plus,2026-03,2026-03-07,2026-03-08 00:00:00,8000,Verified
ATT-000347,BEN-0028,OFF-004,Vocational,2025-03,2025-03-07,2025-03-07 00:00:00,10000,Verified
ATT-001132,BEN-0093,OFF-013,Tech,2025-05,2025-05-11,2025-05-13 00:00:00,12000,Verified
ATT-002193,BEN-0184,OFF-003,Tech,2025-12,2025-12-02,2025-12-02 00:00:00,12000,Verified
ATT-000651,BEN-0053,OFF-001,Plus,2025-07,2025-07-02,2025-07-04 00:00:00,8000,Verified
ATT-001021,BEN-0084,OFF-008,Scholarship,2026-05,2026-05-26,2026-05-28 00:00:00,15000,Verified
ATT-001135,BEN-0094,OFF-006,Plus,2026-02,2026-02-22,2026-02-23 00:00:00,8000,Verified
ATT-000943,BEN-0078,OFF-015,Plus,2025-02,2025-02-05,2025-02-07 00:00:00,8000,Verified
ATT-000393,BEN-0032,OFF-005,Vocational,2026-04,2026-04-08,2026-04-08 00:00:00,10000,Verified
ATT-000484,BEN-0039,OFF-006,Vocational,2025-04,2025-04-23,2025-04-25 00:00:00,10000,Verified
ATT-001445,BEN-0119,OFF-010,Scholarship,2025-03,2025-03-02,2025-03-03 00:00:00,15000,Verified
ATT-001114,BEN-0092,OFF-008,Scholarship,2026-03,2026-03-01,2026-03-01 00:00:00,15000,Verified
ATT-001621,BEN-0134,OFF-003,Scholarship,2026-05,28/05/2026,2026-05-29 00:00:00,15000,Verified
ATT-000895,BEN-0074,OFF-010,Scholarship,2025-06,2025-06-10,2025-06-12 00:00:00,15000,Verified
ATT-001584,BEN-0131,OFF-004,Tech,2025-08,2025-08-25,2025-08-25 00:00:00,12000,Verified
ATT-002152,BEN-0181,OFF-013,Tech,2026-05,2026-05-24,2026-05-26 00:00:00,12000,Verified
ATT-000832,BEN-0070,OFF-008,Scholarship,2025-11,2025-11-28,2025-11-29 00:00:00,15000,Verified
ATT-000338,BEN-0027,OFF-004,Plus,2026-02,2026-02-23,2026-02-25 00:00:00,8000,Verified
ATT-001366,BEN-0112,OFF-007,Scholarship,2026-05,2026-05-25,2026-05-27 00:00:00,15000,Verified
ATT-000913,BEN-0076,OFF-015,Vocational,2025-11,2025-11-24,2025-11-24 00:00:00,10000,Verified
ATT-002352,BEN-0196,OFF-004,Vocational,2025-01,2025-01-17,2025-01-19 00:00:00,10000,Verified
ATT-001098,BEN-0090,OFF-001,Vocational,2026-01,2026-01-15,2026-01-15 00:00:00,10000,Verified
ATT-000385,BEN-0031,OFF-008,Vocational,2025-12,2025-12-07,2025-12-09 00:00:00,10000,Verified
ATT-001994,BEN-0168,OFF-013,Scholarship,2025-07,2025-07-22,2025-07-23 00:00:00,15000,Verified
ATT-001008,BEN-0083,OFF-001,Plus,2026-04,2026-04-27,2026-04-29 00:00:00,8000,Verified
ATT-000417,BEN-0033,OFF-001,Plus,2025-06,,2025-06-24 00:00:00,8000,Verified
ATT-001539,BEN-0127,OFF-012,Vocational,2025-09,2025-09-21,2025-09-23 00:00:00,10000,Verified
ATT-000487,BEN-0039,OFF-006,Vocational,2026-04,2026-04-14,2026-04-15 00:00:00,10000,Verified
ATT-000609,BEN-0049,OFF-008,Scholarship,2025-02,2025-02-11,2025-02-11 00:00:00,15000,Verified
ATT-001213,BEN-0100,OFF-001,Plus,2025-07,2025-07-11,2025-07-11 00:00:00,8000,Verified
ATT-002177,BEN-0183,OFF-014,Scholarship,2026-03,2026-03-28,2026-03-28 00:00:00,15000,Verified
ATT-000133,BEN-0011,OFF-001,Plus,2026-04,2026-04-11,2026-04-13 00:00:00,8000,Verified
ATT-001701,BEN-0141,OFF-010,Plus,2025-04,2025-04-06,2025-04-07 00:00:00,8000,Verified
ATT-002040,BEN-0171,OFF-004,Plus,2025-07,2025-07-28,2025-07-28 00:00:00,8000,Verified
ATT-002217,BEN-0186,OFF-011,Vocational,2025-12,2025-12-23,2025-12-23 00:00:00,10000,Verified
ATT-001743,BEN-0145,OFF-001,Vocational,2025-04,2025-04-01,2025-04-02 00:00:00,10000,Verified
ATT-001478,BEN-0122,OFF-005,Vocational,2026-02,2026-02-14,2026-02-15 00:00:00,10000,Verified
ATT-001134,BEN-0094,OFF-006,Plus,2025-05,2025-05-15,2025-05-17 00:00:00,8000,Verified
ATT-001936,BEN-0162,OFF-011,Scholarship,2026-06,2026-06-17,2026-06-17 00:00:00,15000,Verified
ATT-001761,BEN-0147,OFF-010,Vocational,2025-02,2025-02-21,2025-02-23 00:00:00,10000,Verified
ATT-001008,BEN-0083,OFF-001,Plus,2026-04,2026-04-27,2026-04-29 00:00:00,8000,Verified
ATT-000765,BEN-0064,OFF-001,Tech,2025-11,2025-11-10,2025-11-11 00:00:00,12000,Verified
ATT-001336,BEN-0110,OFF-005,Vocational,2026-02,2026-02-03,2026-02-03 00:00:00,10000,Verified
ATT-001482,BEN-0123,OFF-012,Tech,2025-09,2025-09-14,2025-09-14 00:00:00,12000,Verified
ATT-001403,BEN-0116,OFF-002,Plus,2025-05,2025-05-28,2025-05-29 00:00:00,8000,Verified
ATT-002123,BEN-0178,OFF-005,Plus,2025-05,2025-05-27,2025-05-29 00:00:00,8000,Verified
ATT-001281,BEN-0105,OFF-012,Scholarship,2026-03,2026-03-22,2026-03-22 00:00:00,15000,Verified
ATT-002196,BEN-0184,OFF-003,Tech,2026-06,2026-06-16,2026-06-16 00:00:00,12000,Verified
ATT-001352,BEN-0112,OFF-007,Scholarship,2025-06,2025-06-18,2025-06-19 00:00:00,15000,Verified
ATT-000974,BEN-0080,OFF-013,Vocational,2025-09,2025-09-02,2025-09-03 00:00:00,10000,Verified
ATT-001953,BEN-0164,OFF-005,Scholarship,2026-03,2026-03-05,2026-03-06 00:00:00,15000,Verified
ATT-001007,BEN-0083,OFF-001,Plus,2025-04,2025-04-16,2025-04-16 00:00:00,8000,Verified
ATT-001985,BEN-0167,OFF-013,Plus,2026-02,2026-02-15,2026-02-17 00:00:00,8000,Verified
ATT-000280,BEN-0023,OFF-002,Plus,2025-02,2025-02-25,2025-02-25 00:00:00,8000,Verified
ATT-002401,BEN-0200,OFF-011,Vocational,2025-09,2025-09-04,2025-09-04 00:00:00,10000,Verified
ATT-001179,BEN-0097,OFF-010,Scholarship,2025-04,2025-04-19,2025-04-20 00:00:00,15000,Verified
ATT-002073,BEN-0174,OFF-002,Plus,2025-02,2025-02-15,2025-02-17 00:00:00,8000,Verified
ATT-000728,BEN-0061,OFF-008,Scholarship,2026-02,2026-02-28,2026-03-02 00:00:00,15000,Verified
ATT-002364,BEN-0197,OFF-006,Plus,2025-05,2025-05-03,2025-05-03 00:00:00,8000,Verified
ATT-002328,BEN-0194,OFF-012,Plus,2026-01,2026-01-28,2026-01-30 00:00:00,8000,Verified
ATT-000888,BEN-0074,OFF-010,Scholarship,2025-10,2025-10-16,2025-10-18 00:00:00,15000,Verified
ATT-001239,BEN-0102,OFF-013,Plus,2025-11,2025-11-02,2025-11-03 00:00:00,8000,Verified
ATT-002195,BEN-0184,OFF-003,Tech,2025-08,2025-08-26,2025-08-28 00:00:00,12000,Verified
ATT-000011,BEN-0002,OFF-009,Scholarship,2025-02,2025-02-24,2025-02-25 00:00:00,15000,Verified
ATT-002167,BEN-0182,OFF-004,Plus,2025-06,2025-06-08,2025-06-10 00:00:00,8000,Verified
ATT-001044,BEN-0085,OFF-012,Scholarship,2025-05,2025-05-11,2025-05-12 00:00:00,15000,Verified
ATT-002258,BEN-0190,OFF-004,Plus,2025-03,2025-03-09,2025-03-09 00:00:00,8000,Verified
ATT-000988,BEN-0082,OFF-014,Vocational,2025-02,,2025-02-23 00:00:00,10000,Verified
ATT-000485,BEN-0039,OFF-006,Vocational,2025-11,2025-11-07,2025-11-08 00:00:00,10000,Verified
ATT-001264,BEN-0104,OFF-007,Plus,2025-04,2025-04-17,2025-04-17 00:00:00,8000,Verified
ATT-001865,BEN-0156,OFF-010,Scholarship,2026-05,2026-05-01,2026-05-01 00:00:00,15000,Verified
ATT-001003,BEN-0082,OFF-014,Vocational,2026-01,2026-01-04,2026-01-05 00:00:00,10000,Verified
ATT-001040,BEN-0085,OFF-012,Scholarship,2026-05,2026-05-27,2026-05-28 00:00:00,15000,Verified
ATT-000179,BEN-0015,OFF-012,Vocational,2025-03,2025-03-24,2025-03-25 00:00:00,10000,Verified
ATT-001736,BEN-0145,OFF-001,Vocational,2026-02,2026-02-13,2026-02-15 00:00:00,10000,Verified
ATT-002191,BEN-0184,OFF-003,Tech,2025-05,2025-05-21,2025-05-21 00:00:00,12000,Verified
ATT-000624,BEN-0050,OFF-009,Scholarship,2026-05,2026-05-01,2026-05-02 00:00:00,15000,Verified
ATT-000024,BEN-0002,OFF-009,Scholarship,2026-06,2026-06-22,2026-06-22 00:00:00,15000,Verified
ATT-001205,BEN-0099,OFF-004,Scholarship,2026-06,2026-06-06,2026-06-08 00:00:00,15000,Verified
ATT-000583,BEN-0046,OFF-012,Tech,2025-06,2025-06-26,2025-06-28 00:00:00,12000,Verified
ATT-000560,BEN-0044,OFF-012,Scholarship,2025-11,2025-11-11,2025-11-12 00:00:00,15000,Verified
ATT-000083,BEN-0007,OFF-015,Vocational,2026-02,20/02/2026,2026-02-22 00:00:00,10000,Verified
ATT-001211,BEN-0100,OFF-001,Plus,2026-05,2026-05-13,2026-05-15 00:00:00,8000,Verified
ATT-001777,BEN-0149,OFF-005,Vocational,2026-06,2026-06-05,2026-06-05 00:00:00,10000,Verified
ATT-000037,BEN-0003,OFF-005,Tech,2025-05,2025-05-14,2025-05-14 00:00:00,12000,Verified
ATT-001997,BEN-0168,OFF-013,Scholarship,2025-05,2025-05-16,2025-05-18 00:00:00,15000,Verified
ATT-000108,BEN-0009,OFF-005,Plus,2025-01,2025-01-03,2025-01-03 00:00:00,8000,Verified
ATT-002132,BEN-0180,OFF-010,Scholarship,2025-08,2025-08-13,2025-08-13 00:00:00,15000,Verified
ATT-000772,BEN-0064,OFF-001,Tech,2025-08,2025-08-09,2025-08-09 00:00:00,12000,Verified
ATT-000816,BEN-0069,OFF-015,Tech,2026-04,2026-04-05,2026-04-05 00:00:00,12000,Verified
ATT-000367,BEN-0030,OFF-011,Scholarship,2025-01,2025-01-12,2025-01-12 00:00:00,15000,Verified
ATT-000207,BEN-0017,OFF-007,Scholarship,2025-02,2025-02-09,2025-02-10 00:00:00,15000,Verified
ATT-002220,BEN-0186,OFF-011,Vocational,2025-06,2025-06-17,2025-06-19 00:00:00,10000,Verified
ATT-002122,BEN-0178,OFF-005,Plus,2025-01,2025-01-22,2025-01-23 00:00:00,8000,Verified
ATT-000796,BEN-0067,OFF-015,Scholarship,2025-12,2025-12-05,2025-12-05 00:00:00,15000,Verified
ATT-002230,BEN-0187,OFF-010,Tech,2025-01,2025-01-27,2025-01-27 00:00:00,12000,Verified
ATT-001374,BEN-0114,OFF-006,Scholarship,2026-06,2026-06-08,2026-06-09 00:00:00,15000,Verified
ATT-002243,BEN-0188,OFF-005,Scholarship,2025-01,2025-01-14,2025-01-15 00:00:00,15000,Verified
ATT-001299,BEN-0106,OFF-007,Scholarship,2026-04,2026-04-18,2026-04-20 00:00:00,15000,Verified
ATT-001128,BEN-0093,OFF-013,Tech,2025-04,2025-04-17,2025-04-17 00:00:00,12000,Verified
ATT-001456,BEN-0120,OFF-015,Plus,2026-01,2026-01-10,2026-01-12 00:00:00,8000,Verified
ATT-001329,BEN-0109,OFF-006,Tech,2025-02,2025-02-23,2025-02-25 00:00:00,12000,Verified
ATT-000471,BEN-0038,OFF-012,Plus,2025-11,2025-11-13,2025-11-15 00:00:00,8000,Verified
ATT-000810,BEN-0068,OFF-006,Tech,2026-01,2026-01-12,2026-01-14 00:00:00,12000,Verified
ATT-001122,BEN-0092,OFF-008,Scholarship,2026-06,2026-06-10,2026-06-11 00:00:00,15000,Verified
ATT-000181,BEN-0015,OFF-012,Vocational,2025-02,2025-02-21,2025-02-21 00:00:00,10000,Verified
ATT-000606,BEN-0049,OFF-008,Scholarship,2026-04,2026-04-12,2026-04-14 00:00:00,15000,Verified
ATT-000029,BEN-0003,OFF-005,Tech,2025-06,2025-06-09,2025-06-10 00:00:00,12000,Verified
ATT-001344,BEN-0111,OFF-002,Scholarship,2025-02,2025-02-17,2025-02-19 00:00:00,15000,Verified
ATT-002406,BEN-0200,OFF-011,Vocational,2026-04,2026-04-15,2026-04-15 00:00:00,10000,Verified
ATT-001553,BEN-0128,OFF-003,Tech,2026-06,2026-06-13,2026-06-13 00:00:00,12000,Verified
ATT-001751,BEN-0146,OFF-015,Scholarship,2025-03,2025-03-02,2025-03-02 00:00:00,15000,Verified
ATT-001973,BEN-0166,OFF-001,Plus,2025-07,2025-07-07,2025-07-07 00:00:00,8000,Verified
ATT-001290,BEN-0106,OFF-007,Scholarship,2026-03,2026-03-01,2026-03-01 00:00:00,15000,Verified
ATT-000643,BEN-0052,OFF-006,Vocational,2025-02,2025-02-09,2025-02-09 00:00:00,10000,Verified
ATT-002164,BEN-0182,OFF-004,Plus,2025-11,2025-11-05,2025-11-07 00:00:00,8000,Verified
ATT-001166,BEN-0096,OFF-005,Plus,2026-04,2026-04-05,2026-04-05 00:00:00,8000,Verified
ATT-000498,BEN-0040,OFF-014,Scholarship,2026-06,2026-06-11,2026-06-12 00:00:00,15000,Verified
ATT-001610,BEN-0132,OFF-009,Scholarship,2026-01,2026-01-14,2026-01-16 00:00:00,15000,Verified
ATT-000165,BEN-0014,OFF-013,Scholarship,2025-02,2025-02-24,2025-02-24 00:00:00,15000,Verified
ATT-001696,BEN-0141,OFF-010,Plus,2026-03,2026-03-25,2026-03-27 00:00:00,8000,Verified
ATT-002052,BEN-0172,OFF-012,Plus,2025-06,2025-06-09,2025-06-09 00:00:00,8000,Verified
ATT-000217,BEN-0018,OFF-008,Tech,2025-05,2025-05-24,2025-05-25 00:00:00,12000,Verified
ATT-000177,BEN-0015,OFF-012,Vocational,2026-02,2026-02-28,2026-03-02 00:00:00,10000,Verified
ATT-001292,BEN-0106,OFF-007,Scholarship,2025-11,2025-11-18,2025-11-18 00:00:00,15000,Verified
ATT-001393,BEN-0115,OFF-004,Plus,2025-09,2025-09-26,2025-09-26 00:00:00,8000,Verified
ATT-001519,BEN-0125,OFF-014,Vocational,2025-02,16/02/2025,2025-02-16 00:00:00,10000,Verified
